"ID","LEVEL","SCORE","KILLDEATH","WINRATIO","PLAYTIME","MOST1","tear","attack","defence","charge","support","group","heaven"
"Á¶½¤",723,4134,2.35,59,9,"Winston","grandmaster",0,0,1,0,"charge","yes"
"Client",309,4134,3.47,57,9,"Junkrat","grandmaster",0,1,0,0,"defence","yes"
"°­¿ø±â",215,4134,2.24,47,12,"Genji","grandmaster",1,0,0,0,"attack","yes"
"Dae1",970,4134,2.83,45,14,"McCree","grandmaster",1,0,0,0,"attack","yes"
"È÷½ºÅ×¸®½Ã½º",109,4134,2.71,57,24,"Lucio","grandmaster",0,0,0,1,"support","yes"
"NasTy",796,4134,2.05,53,27,"Zenyatta","grandmaster",0,0,0,1,"support","yes"
"È£¹è",455,4134,2.72,61,31,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"Á¾±Ù°«",507,4133,2,30,1,"Junkrat","grandmaster",0,1,0,0,"defence","yes"
"Noanne",763,4133,2.74,59,4,"McCree","grandmaster",1,0,0,0,"attack","yes"
"²Ç¹ß",299,4133,2.31,55,4,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"¶ô¿Â",287,4133,2.59,52,5,"Reinhardt","grandmaster",0,0,1,0,"charge","yes"
"¸Ó°¡¶÷",969,4133,2.34,46,6,"D.Va","grandmaster",0,0,1,0,"charge","yes"
"OR15A",423,4133,2.17,51,6,"D.Va","grandmaster",0,0,1,0,"charge","yes"
"È£¼öÁı¼øÀÌ",491,4133,1.74,49,9,"Genji","grandmaster",1,0,0,0,"attack","yes"
"¸ÆÅ©¸®",667,4133,2.63,50,10,"Winston","grandmaster",0,0,1,0,"charge","yes"
"²É±æ",192,4133,2.25,50,10,"Ana","grandmaster",0,0,0,1,"support","yes"
"rabadamu",130,4133,2.5,50,10,"Zarya","grandmaster",0,0,1,0,"charge","yes"
"ÀÛÀº¹ú",162,4133,2.51,53,18,"Genji","grandmaster",1,0,0,0,"attack","yes"
"£³ì£ì£ì££Ä",136,4133,2.57,45,18,"Winston","grandmaster",0,0,1,0,"charge","yes"
"na1st",524,4133,1.9,55,18,"Junkrat","grandmaster",0,1,0,0,"defence","yes"
"Á¨¾ßÅ¸",275,4132,1.98,46,2,"Orisa","grandmaster",0,0,1,0,"charge","yes"
"Again",570,4132,2.21,67,3,"Zarya","grandmaster",0,0,1,0,"charge","yes"
"¿Í°¡Å×Å°¿ÀÄí¶ó¿¡",98,4132,2.54,25,3,"Lucio","grandmaster",0,0,0,1,"support","yes"
"nsLDH",307,4132,3.75,58,3,"McCree","grandmaster",1,0,0,0,"attack","yes"
"»ç¶Ç",255,4132,3.24,63,3,"Winston","grandmaster",0,0,1,0,"charge","yes"
"dusgml",528,4132,0.49,59,4,"Ana","grandmaster",0,0,0,1,"support","yes"
"dog",110,4132,2.44,54,5,"Reinhardt","grandmaster",0,0,1,0,"charge","yes"
"seungjin",500,4132,2.33,43,5,"Ana","grandmaster",0,0,0,1,"support","yes"
"SUNBIN",436,4132,1.79,65,5,"Genji","grandmaster",1,0,0,0,"attack","yes"
"Hinata",789,4132,2.53,53,7,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"ÂŞ´Ï¹ö½º",179,4132,2.48,57,7,"Genji","grandmaster",1,0,0,0,"attack","yes"
"ºÎ»ê»ç¶÷",674,4132,2.17,49,9,"Winston","grandmaster",0,0,1,0,"charge","yes"
"¶×ÀÌ",542,4132,2.72,50,10,"McCree","grandmaster",1,0,0,0,"attack","yes"
"·ç·éµğ¾Æ",693,4132,1.85,47,17,"Ana","grandmaster",0,0,0,1,"support","yes"
"Pixel",738,4132,2.82,53,29,"Zenyatta","grandmaster",0,0,0,1,"support","yes"
"½Ã¸ŞÁø",1663,4132,1.03,47,31,"Lucio","grandmaster",0,0,0,1,"support","yes"
"Çàº¹ÇÑ´À³¦",331,4132,2.82,56,53,"Zarya","grandmaster",0,0,1,0,"charge","yes"
"Creeem",1133,4132,2.36,48,73,"McCree","grandmaster",1,0,0,0,"attack","yes"
"REDBLUE",488,4132,2.04,50,86,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"¿ÀÁ÷µô·¯",342,4132,2.43,48,89,"Mercy","grandmaster",0,0,0,1,"support","yes"
"White",122,4131,4,80,1,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"²Ù²Ù",310,4131,1.53,54,2,"Mei","grandmaster",0,1,0,0,"defence","yes"
"ÁúÁÖ182",366,4131,3.81,69,2,"Zenyatta","grandmaster",0,0,0,1,"support","yes"
"Fury",530,4131,2,55,3,"Winston","grandmaster",0,0,1,0,"charge","yes"
"Fl0w3R",131,4131,2.3,45,3,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"ÇĞ»ì",334,4131,3.58,66,6,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"Chuwhap",571,4131,1.97,50,7,"Genji","grandmaster",1,0,0,0,"attack","yes"
"QuietNap",367,4131,2.17,53,9,"Lucio","grandmaster",0,0,0,1,"support","yes"
"XerobiN",187,4131,2.93,51,9,"D.Va","grandmaster",0,0,1,0,"charge","yes"
"Kiter",280,4131,2.11,53,9,"Doomfist","grandmaster",1,0,0,0,"attack","yes"
"¹®ÀÏµ¿»ê",37,4131,4.06,72,9,"Roadhog","grandmaster",0,0,1,0,"charge","yes"
"rolling",652,4131,2.2,43,10,"McCree","grandmaster",1,0,0,0,"attack","yes"
"¾Æ³ªÀåÀÎÀÌÁ¤¹Î",829,4131,1.14,48,12,"Winston","grandmaster",0,0,1,0,"charge","yes"
"Lillo",694,4131,2.05,55,14,"D.Va","grandmaster",0,0,1,0,"charge","yes"
"Starlike",530,4131,2.68,56,13,"Mercy","grandmaster",0,0,0,1,"support","yes"
"À¯Äµ½Ã¹Ì",374,4131,2.8,65,16,"Ana","grandmaster",0,0,0,1,"support","yes"
"xmask",305,4131,2.33,59,16,"Winston","grandmaster",0,0,1,0,"charge","yes"
"Classic",147,4131,2.48,49,17,"Genji","grandmaster",1,0,0,0,"attack","yes"
"Castella",594,4131,2.46,54,22,"Genji","grandmaster",1,0,0,0,"attack","yes"
"¸®ÆÛ¸ÁÄ³",453,4131,2.49,48,22,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"ÃÖÁø¾Æ",1223,4131,2.88,49,38,"Lucio","grandmaster",0,0,0,1,"support","yes"
"IMPACT",192,4131,2.14,54,60,"Winston","grandmaster",0,0,1,0,"charge","yes"
"¿¹µğ",138,4130,3.14,50,1,"Lucio","grandmaster",0,0,0,1,"support","yes"
"ZeroBEE",675,4130,2.36,27,2,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"Winston",181,4130,2.12,33,2,"Ana","grandmaster",0,0,0,1,"support","yes"
"unkn0wn",321,4130,2.98,46,2,"Ana","grandmaster",0,0,0,1,"support","yes"
"ECO",405,4130,3.03,53,3,"Ana","grandmaster",0,0,0,1,"support","yes"
"IcaRus",937,4130,3.26,50,3,"Ana","grandmaster",0,0,0,1,"support","yes"
"MOTTE",295,4130,1.72,55,4,"Lucio","grandmaster",0,0,0,1,"support","yes"
"¾²¹Ù·³",192,4130,1.86,53,4,"Reinhardt","grandmaster",0,0,1,0,"charge","yes"
"ÀÎ»ı¾¾ºÜ",427,4130,2.48,50,4,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"BLKserenity",669,4130,2.54,53,7,"Zarya","grandmaster",0,0,1,0,"charge","yes"
"ÄÄÀß¾Ë",383,4130,2.73,66,6,"D.Va","grandmaster",0,0,1,0,"charge","yes"
"¹«Áø",658,4130,1.76,57,6,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"¸¶Ä«·Õ",617,4130,2.22,53,7,"Ana","grandmaster",0,0,0,1,"support","yes"
"¼¼ÃÖ°Õ±îÁö¸¸",309,4130,2.48,49,8,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"REAL",208,4130,2.76,48,9,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"ryujehong",615,4130,2.67,59,12,"Winston","grandmaster",0,0,1,0,"charge","yes"
"Traceur",226,4130,1.96,55,14,"Genji","grandmaster",1,0,0,0,"attack","yes"
"±×¸¸²ø·Á",809,4130,3.12,59,15,"Roadhog","grandmaster",0,0,1,0,"charge","yes"
"NoName",170,4130,2.53,45,16,"D.Va","grandmaster",0,0,1,0,"charge","yes"
"LEESAEDOL",316,4130,2.71,54,21,"Lucio","grandmaster",0,0,0,1,"support","yes"
"DPS",467,4130,2.45,64,21,"Genji","grandmaster",1,0,0,0,"attack","yes"
"ÀÎÇü",211,4130,2.46,44,20,"D.Va","grandmaster",0,0,1,0,"charge","yes"
"EricEnn",928,4130,2.57,47,41,"Lucio","grandmaster",0,0,0,1,"support","yes"
"¼ººó",593,4130,2.51,55,48,"Genji","grandmaster",1,0,0,0,"attack","yes"
"ÀÌ½Â¸¸",985,4130,3.21,49,110,"Winston","grandmaster",0,0,1,0,"charge","yes"
"Áø¹ÎÁ¦",311,4129,2.61,60,2,"Ana","grandmaster",0,0,0,1,"support","yes"
"Vertex",71,4129,2.3,40,1,"Genji","grandmaster",1,0,0,0,"attack","yes"
"¿µ¿õÀºÁ×¾î¿ä",452,4129,2.35,55,1,"Zarya","grandmaster",0,0,1,0,"charge","yes"
"¹Ú¸®¾ß",455,4129,2.05,47,2,"Genji","grandmaster",1,0,0,0,"attack","yes"
"CntDongHyuk",183,4129,2.17,50,4,"Ana","grandmaster",0,0,0,1,"support","yes"
"¿ÍÀÌÆÔ",667,4129,2.62,78,4,"Roadhog","grandmaster",0,0,1,0,"charge","yes"
"Balt",666,4129,2.19,71,6,"McCree","grandmaster",1,0,0,0,"attack","yes"
"GodMin",802,4129,1.52,50,6,"Genji","grandmaster",1,0,0,0,"attack","yes"
"¢k¾ßÅÁ",239,4129,1.77,54,7,"Junkrat","grandmaster",0,1,0,0,"defence","yes"
"Áö³×µòÁö´Ü",420,4129,2.73,43,10,"McCree","grandmaster",1,0,0,0,"attack","yes"
"¹Úº¸¿µ",57,4129,0.21,83,9,"Winston","grandmaster",0,0,1,0,"charge","yes"
"WOOGIE",295,4129,3.34,63,14,"Winston","grandmaster",0,0,1,0,"charge","yes"
"perfect",182,4129,2.74,48,15,"Genji","grandmaster",1,0,0,0,"attack","yes"
"±¸¿ø",615,4129,2.35,54,21,"Ana","grandmaster",0,0,0,1,"support","yes"
"ro0ic",123,4129,2.44,57,25,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"DogGosu",512,4129,2.58,53,58,"Ana","grandmaster",0,0,0,1,"support","yes"
"Delay",359,4128,2.58,54,2,"D.Va","grandmaster",0,0,1,0,"charge","yes"
"Áñ°×À¯ÀúÁ¤¼ºÈÆ",207,4128,1.52,38,3,"Genji","grandmaster",1,0,0,0,"attack","yes"
"¸ğÈ÷Ä­",300,4128,2.19,39,6,"Ana","grandmaster",0,0,0,1,"support","yes"
"½Ç·ÂÆÄ",170,4128,4.09,78,5,"Winston","grandmaster",0,0,1,0,"charge","yes"
"·Î²¿",610,4128,1.91,55,5,"Ana","grandmaster",0,0,0,1,"support","yes"
"¹Ì³²",107,4128,2.98,55,6,"Zenyatta","grandmaster",0,0,0,1,"support","yes"
"StapFaJN",698,4128,3.46,47,6,"D.Va","grandmaster",0,0,1,0,"charge","yes"
"¹Ù´ÙÄÚ³¢¸®",652,4128,2.2,53,6,"Mercy","grandmaster",0,0,0,1,"support","yes"
"¼­¾çÀ±¸®",719,4128,2.06,43,6,"Roadhog","grandmaster",0,0,1,0,"charge","yes"
"»õÄ¿¹Ì",368,4128,1.84,55,7,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"Á¾È£¿ÍÃ¶ÀÌÀÌ¾ß±â",247,4128,3.56,59,7,"Junkrat","grandmaster",0,1,0,0,"defence","yes"
"NewSilon",866,4128,2.42,50,12,"Doomfist","grandmaster",1,0,0,0,"attack","yes"
"KellyLai",337,4128,2.05,54,14,"D.Va","grandmaster",0,0,1,0,"charge","yes"
"Ä«Åå",527,4128,2.68,56,15,"Genji","grandmaster",1,0,0,0,"attack","yes"
"¾ÈÁ¤ÈÆ",1128,4128,2.25,43,18,"Genji","grandmaster",1,0,0,0,"attack","yes"
"DemSoon",382,4128,1.83,48,18,"Ana","grandmaster",0,0,0,1,"support","yes"
"lunaash",744,4128,0.58,61,25,"McCree","grandmaster",1,0,0,0,"attack","yes"
"BRONZE",309,4128,1.96,52,24,"Junkrat","grandmaster",0,1,0,0,"defence","yes"
"UNLOCK",1155,4128,2.91,50,31,"D.Va","grandmaster",0,0,1,0,"charge","yes"
"TIME",92,4128,2.46,57,32,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"Emily",624,4128,2.26,49,36,"Lucio","grandmaster",0,0,0,1,"support","yes"
"ÆĞ½½",934,4128,2.25,51,43,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"³ª´ëÁö¸¶",399,4127,2.52,70,1,"Ana","grandmaster",0,0,0,1,"support","yes"
"´ëÁö",623,4127,0.53,50,2,"Pharah","grandmaster",1,0,0,0,"attack","yes"
"Bepo",44,4127,3.75,42,2,"Junkrat","grandmaster",0,1,0,0,"defence","yes"
"Jaehyun",195,4127,1.94,47,3,"Widowmaker","grandmaster",0,1,0,0,"defence","yes"
"µ¿¹ÎÂ¯Â¯",339,4127,2.01,69,2,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"À¯²ÙÀ×",264,4127,1.04,40,4,"Genji","grandmaster",1,0,0,0,"attack","yes"
"°¨ÀÚ",725,4127,2.35,59,4,"Ana","grandmaster",0,0,0,1,"support","yes"
"Eliott",337,4127,2.42,41,4,"Mercy","grandmaster",0,0,0,1,"support","yes"
"Shadower",277,4127,2.54,64,4,"Lucio","grandmaster",0,0,0,1,"support","yes"
"À±¶òÁø",613,4127,3.06,67,5,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"Å¬¸°Æ®¿ş½ºÆ®¿ìµå",748,4127,1.44,44,5,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"IMYOURFATHER",307,4127,2.68,56,6,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"Godzo",344,4127,3.09,71,7,"Ana","grandmaster",0,0,0,1,"support","yes"
"seiko",166,4127,2.49,47,8,"Lucio","grandmaster",0,0,0,1,"support","yes"
"SeeYOUaGaiN",294,4127,1.35,41,7,"Mercy","grandmaster",0,0,0,1,"support","yes"
"Itachi",221,4127,2.95,50,9,"Zarya","grandmaster",0,0,1,0,"charge","yes"
"KIMTAEHOUNG",205,4127,1.32,57,9,"Genji","grandmaster",1,0,0,0,"attack","yes"
"Adorable",868,4127,0.91,46,12,"Junkrat","grandmaster",0,1,0,0,"defence","yes"
"Hatae",427,4127,2.57,60,11,"Ana","grandmaster",0,0,0,1,"support","yes"
"°í¿Ê",141,4127,2.54,65,13,"McCree","grandmaster",1,0,0,0,"attack","yes"
"¹ã±â»ç",819,4127,2.16,48,14,"Junkrat","grandmaster",0,1,0,0,"defence","yes"
"À°½ÂÈÆ",709,4127,2.46,50,14,"Junkrat","grandmaster",0,1,0,0,"defence","yes"
"Æ÷È­",511,4127,2.7,50,17,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"¿ìÁÖÀÎ",670,4127,2.57,53,22,"Lucio","grandmaster",0,0,0,1,"support","yes"
"µîÂ¦À»º¸ÀÚ",871,4127,2.45,56,25,"Winston","grandmaster",0,0,1,0,"charge","yes"
"ÆÄÇîÀÏ",524,4127,2.02,52,54,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"¾î¼­¿À¼¼¿ä",634,4126,2.56,70,1,"Junkrat","grandmaster",0,1,0,0,"defence","yes"
"Nameless",576,4126,2.37,60,2,"Lucio","grandmaster",0,0,0,1,"support","yes"
"ÀÌ¼ö¹Î",249,4126,2.21,53,3,"Genji","grandmaster",1,0,0,0,"attack","yes"
"GovDut",546,4126,3.13,63,4,"Ana","grandmaster",0,0,0,1,"support","yes"
"È¿³¯µÎ",413,4126,1.7,50,4,"Mercy","grandmaster",0,0,0,1,"support","yes"
"Sleeplz",184,4126,2.25,50,4,"Winston","grandmaster",0,0,1,0,"charge","yes"
"dodobj",689,4126,2.4,54,7,"Ana","grandmaster",0,0,0,1,"support","yes"
"µµ·Îµ¿µ¿ÀÌ",194,4126,1.11,46,6,"Winston","grandmaster",0,0,1,0,"charge","yes"
"¹«¾ùÀÌµç¿­½ÉÈ÷",199,4126,2.44,67,7,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"Quavo",97,4126,1.92,54,8,"Zarya","grandmaster",0,0,1,0,"charge","yes"
"planet",54,4126,3.32,64,13,"Genji","grandmaster",1,0,0,0,"attack","yes"
"Timje",786,4126,3.11,56,19,"Winston","grandmaster",0,0,1,0,"charge","yes"
"ÇöÁØÀÌÀÇ¿ÀÇÔ¸¶",196,4126,2.68,52,21,"Doomfist","grandmaster",1,0,0,0,"attack","yes"
"Á¶±Ù±â",127,4126,2.8,54,30,"Winston","grandmaster",0,0,1,0,"charge","yes"
"DECAL",218,4126,2.14,48,36,"Lucio","grandmaster",0,0,0,1,"support","yes"
"Rewolfwons",402,4125,2.83,45,2,"Lucio","grandmaster",0,0,0,1,"support","yes"
"GANGSTER",335,4125,3.86,58,2,"Winston","grandmaster",0,0,1,0,"charge","yes"
"DALGONA",197,4125,3.36,83,1,"Ana","grandmaster",0,0,0,1,"support","yes"
"Phoenix",574,4125,1.86,46,2,"Lucio","grandmaster",0,0,0,1,"support","yes"
"Notbad",64,4125,2.51,69,3,"Ana","grandmaster",0,0,0,1,"support","yes"
"ÆóÈ£",237,4125,2.63,53,3,"Lucio","grandmaster",0,0,0,1,"support","yes"
"Aimbot",151,4125,3.55,58,4,"Lucio","grandmaster",0,0,0,1,"support","yes"
"KimKyungTae",395,4125,2.6,40,6,"D.Va","grandmaster",0,0,1,0,"charge","yes"
"·Îº¿¼Ò¸®",292,4125,1.83,74,6,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"½ÃÁğ4¾ÈÇß¾î¿ä",113,4125,2.36,40,6,"Reaper","grandmaster",1,0,0,0,"attack","yes"
"È£¶±¸Ç",630,4125,2.6,68,8,"Zarya","grandmaster",0,0,1,0,"charge","yes"
"Nqrse",295,4125,2.88,62,8,"McCree","grandmaster",1,0,0,0,"attack","yes"
"½´¶ó",995,4125,3.4,77,9,"Lucio","grandmaster",0,0,0,1,"support","yes"
"AFVivian",314,4125,2.51,53,11,"Pharah","grandmaster",1,0,0,0,"attack","yes"
"Huzen",565,4125,2.92,47,14,"D.Va","grandmaster",0,0,1,0,"charge","yes"
"ÁöµÎÀçµÎ",213,4125,1.91,59,14,"Winston","grandmaster",0,0,1,0,"charge","yes"
"°æ±âµµ¾È»êÁ¤Å©·¿",610,4125,2.12,51,25,"Genji","grandmaster",1,0,0,0,"attack","yes"
"Linby",764,4125,2.37,55,36,"Ana","grandmaster",0,0,0,1,"support","yes"
"EIWG",92,4125,2.25,57,57,"Hanzo","grandmaster",0,1,0,0,"defence","yes"
"ANGELA",710,4125,0.74,55,65,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"Noto",1106,4125,1.97,49,79,"Winston","grandmaster",0,0,1,0,"charge","yes"
"Dunsa",704,4124,2.07,50,2,"McCree","grandmaster",1,0,0,0,"attack","yes"
"VAN1SH",135,4124,2.21,60,1,"Ana","grandmaster",0,0,0,1,"support","yes"
"¹ü±¤",448,4124,2.21,55,1,"D.Va","grandmaster",0,0,1,0,"charge","yes"
"µŞ°ñ¸ñ",322,4124,2.23,36,1,"Lucio","grandmaster",0,0,0,1,"support","yes"
"½Ã°øÁ¶¾Æ",122,4124,2.47,75,2,"McCree","grandmaster",1,0,0,0,"attack","yes"
"Lapierr",701,4124,1.22,54,2,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"ÇÏ¶Ñ",727,4124,1.31,63,3,"Lucio","grandmaster",0,0,0,1,"support","yes"
"¾È³ç³­¸Ş¸£½Ã",29,4124,0.41,95,2,"Genji","grandmaster",1,0,0,0,"attack","yes"
"¿ì¸£±º",575,4124,4.03,65,3,"Ana","grandmaster",0,0,0,1,"support","yes"
"KiMin0NaWa",188,4124,2.75,52,5,"Junkrat","grandmaster",0,1,0,0,"defence","yes"
"À§µµ¿ìÃæ",396,4124,2.57,43,5,"Winston","grandmaster",0,0,1,0,"charge","yes"
"ZENO",593,4124,2.25,53,6,"Ana","grandmaster",0,0,0,1,"support","yes"
"³­´ÏÀÌ»óÇüÀÌ´Ù",502,4124,2.89,50,7,"Mercy","grandmaster",0,0,0,1,"support","yes"
"ÅÂ´Â°Ç¹æÁ®",737,4124,3.32,60,7,"Soldier: 76","grandmaster",1,0,0,0,"attack","yes"
"LEEDONGHOON",263,4124,2.62,51,14,"Zarya","grandmaster",0,0,1,0,"charge","yes"
"Imp",558,4124,2.08,61,14,"Ana","grandmaster",0,0,0,1,"support","yes"
"ÀÏ¸®³×¾î½ÎÀÎ¼·",582,4124,2.6,51,39,"Hanzo","grandmaster",0,1,0,0,"defence","yes"
"Ã»ÁÖ½½¸®ÆÛ",291,4123,2.92,36,2,"Winston","grandmaster",0,0,1,0,"charge","yes"
"frozen",87,4123,3.74,54,2,"Genji","grandmaster",1,0,0,0,"attack","yes"
"wiwoo",328,4123,3.14,67,2,"Ana","grandmaster",0,0,0,1,"support","yes"
"·ç±â",686,4123,1.47,36,3,"Mercy","grandmaster",0,0,0,1,"support","yes"
"ªµª¯ªéªæªé",447,4123,0.86,43,3,"Mercy","grandmaster",0,0,0,1,"support","yes"
"¸Ş¸£½Ã¿ì",204,4123,1.48,47,3,"D.Va","grandmaster",0,0,1,0,"charge","yes"
"º¯´öÀïÀÌ",189,4123,3.66,65,3,"Pharah","grandmaster",1,0,0,0,"attack","yes"
"TCMOJITO",1020,4123,2.77,50,5,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"À©½ºÅÏ",236,4123,1.55,66,6,"Ana","grandmaster",0,0,0,1,"support","yes"
"KiGGa",613,4123,2.15,55,6,"Genji","grandmaster",1,0,0,0,"attack","yes"
"Noah",505,4123,2.25,51,7,"Genji","grandmaster",1,0,0,0,"attack","yes"
"Save",125,4123,2.82,54,8,"McCree","grandmaster",1,0,0,0,"attack","yes"
"PQPQPQPQ",119,4123,2.17,52,8,"Ana","grandmaster",0,0,0,1,"support","yes"
"ÀÚ¸®¾ß",223,4123,2.78,60,8,"D.Va","grandmaster",0,0,1,0,"charge","yes"
"º£Â¯ÀÌ",685,4123,1.88,51,9,"Zarya","grandmaster",0,0,1,0,"charge","yes"
"Dfield",346,4123,3.7,54,11,"Winston","grandmaster",0,0,1,0,"charge","yes"
"ÀÌ¸®½½",794,4123,1.79,47,12,"Hanzo","grandmaster",0,1,0,0,"defence","yes"
"¼Û¼º¹ü",294,4123,2.52,49,15,"Ana","grandmaster",0,0,0,1,"support","yes"
"±èÈ£±Í",476,4123,3.29,63,15,"Lucio","grandmaster",0,0,0,1,"support","yes"
"À¯·ÎÆÄ",816,4123,2.35,55,17,"Lucio","grandmaster",0,0,0,1,"support","yes"
"±è³²ÁÖ",236,4123,2.32,53,22,"Genji","grandmaster",1,0,0,0,"attack","yes"
"A1TIS",406,4123,2.79,48,23,"D.Va","grandmaster",0,0,1,0,"charge","yes"
"Á¹¸°°õ",723,4123,2.25,50,25,"Ana","grandmaster",0,0,0,1,"support","yes"
"MyWay",992,4123,2.69,52,42,"Lucio","grandmaster",0,0,0,1,"support","yes"
"Reaper",913,4123,2.58,54,55,"D.Va","grandmaster",0,0,1,0,"charge","yes"
"·ë½Î·Õ",223,4122,2.62,40,1,"Tracer","grandmaster",1,0,0,0,"attack","yes"
"aptitude",361,4122,2.6,64,2,"Doomfist","grandmaster",1,0,0,0,"attack","yes"
"ARTMAN",286,4122,1.77,64,2,"Roadhog","grandmaster",0,0,1,0,"charge","yes"
"Tronix",764,4122,3.07,69,3,"Doomfist","grandmaster",1,0,0,0,"attack","yes"
